,0-1,0-10,0-11,0-12,0-2,0-3,0-4,0-5,0-6,0-7,0-8,0-9,1-10,1-11,1-12,1-2,1-3,1-4,1-5,1-6,1-7,1-8,1-9,10-11,10-12,11-12,2-10,2-11,2-12,2-3,2-4,2-5,2-6,2-7,2-8,2-9,3-10,3-11,3-12,3-4,3-5,3-6,3-7,3-8,3-9,4-10,4-11,4-12,4-5,4-6,4-7,4-8,4-9,5-10,5-11,5-12,5-6,5-7,5-8,5-9,6-10,6-11,6-12,6-7,6-8,6-9,7-10,7-11,7-12,7-8,7-9,8-10,8-11,8-12,8-9,9-10,9-11,9-12,volume
1457,606.1710802938439,338.15470318799015,510.9034825739072,211.59619293894886,293.33795261305863,188.72679387199798,64.50124378521573,592.2636141753566,56.78539597112422,632.8967592735601,399.17093986761654,533.6554117696071,288.2440427357014,113.19367062402983,408.1006284047277,334.4700698879012,424.9627102546349,607.6004812337147,15.435826194606157,608.4711966895162,34.953004262130015,222.45383197994877,86.35911036356127,180.37458374480696,127.47795126586512,305.21897978248745,47.17321790668533,227.46676773391948,81.78273817244266,159.49061306331737,315.5791771766688,319.3471558857204,282.5142985166425,355.53819141814404,185.06438388049943,252.85894392980725,190.2825742872839,339.42511858692694,106.73402241329183,182.64167655831554,411.85872214506156,209.09353793941256,453.9638026516241,211.31990546819617,359.2979568770558,356.84493280606796,519.9771424254202,236.59211704222403,594.4917677327425,121.26565623826369,636.5182320236295,391.698617031138,540.8229096190531,273.0342780343198,97.80766078797555,393.34976839224817,593.9933987586513,43.46232564646351,211.35393266063903,71.00090412693801,329.24725582150467,507.46634520751763,202.3276604312127,633.0242919138158,412.0246272243286,531.6405065769627,308.6657934043322,128.9568431167651,431.504168370133,254.792052389738,102.794732530231,158.43098318882227,166.9980012339894,229.29760964758782,176.49436153398713,205.9151346690557,26.882606435764718,329.6358777086692,4202.301598795789
1458,606.1792083058142,338.4863047041323,510.98591717973596,211.92809929537452,293.7609115331832,189.00741492829587,65.93597421903584,592.2660780345308,58.048097981212905,632.8987394262791,399.49278602894316,533.6958025789639,288.8131735281089,113.86251329286112,408.37616862381185,335.0037528083547,425.0228392657816,607.6917812199596,15.502200983754808,608.660610415727,35.27095624610605,222.82688400192214,86.9032464908102,180.46774634515143,127.51619572225687,305.2306772851333,47.17963384601186,227.56187374942357,81.87575036652541,161.60460040957707,316.9492364225879,319.8245784243405,282.5387051830311,355.82075545582484,187.77515335911923,253.02598350548075,191.95376567876377,339.98331854038065,109.00842855805305,182.6730319631175,411.94817082714536,210.28324979413472,454.11912147331674,211.3977569652366,359.6933622660049,357.99390469922184,520.4793421974724,237.966209896232,594.6122365377578,123.9635445406351,636.7011433179873,391.705660661526,541.2017165076348,273.5438443583781,98.41202946023536,393.5836259622291,594.1525338845366,43.586770455402906,211.83867167085964,71.48160411553347,329.26034285585,507.4743652277455,202.32773095528339,633.1106941363782,412.9799546220783,531.6686796944742,308.95642218723265,129.18052564206073,431.62647875043723,255.40016718057973,102.91552816389469,161.4376138892525,168.89047196806777,230.98739556253838,177.93527732332842,206.08691808250805,27.00929555348626,329.6783135104931,4295.711112105929
1459,606.1875391621982,338.82473003762965,511.0700141379833,212.26664849457117,294.1923366789512,189.2938129790644,67.37069918346685,592.2685512616263,59.31081338327577,632.9006904411037,399.8215478843237,533.7370016076854,289.3938245515359,114.54198940414987,408.6577106187126,335.54838434138054,425.0842591698492,607.7850304922205,15.569727513341617,608.8542731722002,35.592845952979495,223.20746375872974,87.4559446213937,180.5629855931938,127.55525190599488,305.2426491311446,47.186173240577276,227.65906687815203,81.97061932240766,163.73653758557538,318.34302726932276,320.31183584142184,282.5636043228089,356.1093355897677,190.50568631739654,253.196598419739,193.64665817473042,340.5526088381348,111.28474922238644,182.70504991179538,412.03945383364334,211.49234485091858,454.27767271038454,211.47735049761047,360.0968923556327,359.16416183238726,520.9918472767434,239.36220054698876,594.7351961491138,126.66142243985902,636.8878748030278,391.7128802085892,541.5884391548976,274.0637845259249,99.02586993460731,393.8225776213336,594.3152183815304,43.71360305870717,212.33277398112145,71.96969389950668,329.2736963619865,507.48257810868296,202.32780522763423,633.1990388656523,413.95424715571374,531.6975121619715,309.2532454009145,129.40870217969828,431.75149358951546,256.0200223420631,103.03886089858327,164.4537708561018,170.80262043352374,232.70187292812838,179.39586500263772,206.26239214623752,27.138046313101384,329.7217127423417,4389.101625413361
1460,606.1960423459831,339.1699903374329,511.1558346140692,212.6118487722576,294.63222072227745,189.58599487420867,68.80543441841697,592.2711253988509,60.57355734057397,632.9026732926986,400.157233410115,533.7790397653273,289.98587098633027,115.23183966036238,408.94517640644807,336.10385679072203,425.146910045436,607.8801384949968,15.638282088304024,609.0521219845333,35.918634888870386,223.59548596152263,88.01699706036983,180.66032787874673,127.5951109783417,305.2549181690378,47.19283797886093,227.75837620039317,82.06732851086906,165.88574940318182,319.760221743726,320.8089466927457,282.5889932769445,356.40395080549536,193.25516004968998,253.37078337463177,195.3607022319058,341.13297092228873,113.56289596135358,182.73769973092215,412.1326320750151,212.72050770287606,454.4394851109874,211.55867652190443,360.5085255076924,360.3554782790288,521.5146334784457,240.77970316886294,594.8606768377324,129.35932042366397,637.0784249387171,391.720237517832,541.9830353554992,274.59410075905737,99.64904001731826,394.0666688894542,594.4815117186199,43.84277483497159,212.83624300886893,72.46508023361424,329.2873158186468,507.4910143894564,202.3278908202453,633.2893567902516,414.94737350854973,531.7270041080428,309.55627690482737,129.64135255012062,431.8792345830144,256.65157306900295,103.16475343043804,167.47895672931412,172.73383774216705,234.44050261437428,180.87566812044503,206.44154739986175,27.26880439802781,329.7660676244722,4482.508138723075
1461,605.6746631399485,336.1508885339792,509.56490370207297,209.59649385220746,290.347758359352,187.04724385435222,55.89102297019777,591.472457256993,49.21050210553226,632.2866109243239,396.862858791724,533.0918245950149,284.79334037337685,109.80250166196592,406.27926056993334,331.6972406733175,424.2997061869843,606.699172774481,15.363571259102585,606.8966825498803,33.018198136975876,220.44935596517067,83.18289770233763,179.14200586905943,127.2581663860888,304.42587071312556,47.62728793220116,226.7103553519559,80.77890947490668,146.8716788345694,307.33167500397775,316.5701838407722,281.6507862541299,354.0241063394251,169.34986770095452,252.24326770623432,180.71141077576718,335.57654263366004,93.12909689968133,182.40231911398575,410.7091559714165,202.20213931276768,452.62722480676695,210.48368876254168,356.884765499841,350.31012336425357,516.3721907120198,228.7422047020905,593.1045438419824,105.07669299480322,634.9628847788963,391.18732183124683,538.4381687700369,269.59941520716603,94.48591335658688,391.4363037637211,592.26150760521,42.93515228699561,208.40929850111476,67.89434866960805,328.93550505084846,506.461734576743,202.09553855006507,631.8721274877836,406.1131993110473,531.0690398416141,306.62229096783307,127.98894189203395,430.38503547820284,251.32827959290503,101.86879632215967,140.45786569615723,155.83644407920738,219.38454644441387,168.44529403371183,204.78721274677756,26.66759819377847,329.2171699975885,3728.6525313044244
1462,605.6815725694911,336.44107003151197,509.6371876827131,209.8879080766856,290.7198657196483,187.29259292860166,57.32575082322637,591.4744336041804,50.47295806959371,632.2883438495844,397.1429552941993,533.1271797973923,285.2925816474181,110.40179182958143,406.51889110249897,332.16411262715667,424.35234155430555,606.7790366733407,15.422037524718963,607.0608367225775,33.31089467284209,220.77654035046606,83.67292388861723,179.2227970449049,127.29152808998356,304.4358207353872,47.632920332425314,226.7928446687071,80.8612233995852,148.86654516233367,308.5551209186,316.98761632423316,281.67232613201895,354.2700307270069,171.9206317869959,252.38855929179604,182.24007288188696,336.0681306775629,95.38901869128935,182.42970560020194,410.787516820568,203.2693351901744,452.76303755201593,210.5511413186909,357.2310887383323,351.32737154752505,516.8126052594029,229.97721350721818,593.2099853140382,107.77449866591405,635.1227595984348,391.19330140399074,538.7693268684186,270.0462068018457,95.02904968578112,391.63945345915243,592.3992146379956,43.04437770783911,208.8368445197292,68.32957964608813,328.9470063458202,506.46848785422753,202.0955858501334,631.9466912630862,406.9530681090965,531.0932613154289,306.8754790742725,128.18467820247685,430.4909344582404,251.86415582887443,101.9741989750587,143.39724568727473,157.59869026486834,220.91642603059435,169.75635843385984,204.93676806477083,26.77939711300989,329.2538287667659,3824.2777949302927
1463,605.6886545184082,336.738225114862,509.71120361820914,210.18618289685884,291.1006961163001,187.5439024694573,58.76047425464792,591.4765109694854,51.73545119771707,632.2901086737555,397.4301112228322,533.1633756273446,285.8036912197782,111.01277275384173,406.764537534439,332.6421722272158,424.406211487229,606.8607649704621,15.481614463974703,607.2292059261615,33.60829163626972,221.1114052116139,84.17245932555284,179.305720907043,127.32570525636066,304.44607642807983,47.638676837516066,226.87746913427762,80.94543700973196,150.88413715325237,309.80415117100006,317.4152042900507,281.6943579359834,354.5220849836686,174.5172203942215,252.53746374708246,183.79408692980695,336.57118197185525,97.65180770651078,182.457726075439,410.86778283977316,204.35795018364306,452.9021358111908,210.6203581128392,357.5856975006312,352.3670990870845,517.263514756256,231.23643721656478,593.3179596146105,110.47230613060268,635.2864766715759,391.19943430772827,539.1084708001202,270.5037914054679,95.58276746824855,391.8478190004612,592.5405540818776,43.15607554553112,209.27419300517124,68.77320544567873,328.9587742655879,506.4754649444374,202.09563690280154,632.0232351937652,407.81270793550436,531.1181433599819,307.1350017346027,128.38503880016478,430.5995850833325,252.4122916614736,102.08222768097552,146.3500779452986,159.38504120474357,222.4764342407057,171.09013984189775,205.0900700238545,26.89338430819055,329.29145382826977,3919.8968085552688
1464,605.6960005319179,337.0423667299934,509.7869651995415,210.49132692945656,291.4902466883071,187.80117993258014,60.19519992157017,591.4786588278424,52.997983103404685,632.2919358998635,397.72433509449223,533.2004271311201,286.32666636845755,111.6353162536147,407.0162423693682,333.13142881716465,424.46137698000837,606.944479117574,15.542400670196981,607.4018477808534,33.91021799028197,221.45398384292167,84.68140232207121,179.39076111992057,127.36069011570716,304.45661507374484,47.64455506139382,226.96421008720338,81.03153792575827,152.92356217963473,311.0785173691459,317.85284560585814,281.7168831519443,354.780254161099,177.13849784778722,252.68995769366535,185.37282439603123,337.0856305156758,99.917281608171,182.48644095322385,410.9498929857895,205.467648991162,453.0445175564283,210.6913298493089,357.94855396968904,353.42916961911175,517.7249364481565,232.5195473524849,593.4284660437735,113.17012579495159,635.4540944859425,391.20577395435015,539.4556318189714,270.972057340241,96.14684068746821,392.06132464026365,592.6854628997364,43.27028415010989,209.72123416956165,69.22502565882489,328.97080899527947,506.4826506262729,202.0956993365241,632.101758763529,408.69198996035686,531.1436707276495,307.40084416691195,128.5900150800317,430.7109779956935,252.97261709563273,102.19288907910334,149.31557470585665,161.1946902775917,224.06397670412244,172.44610951481678,205.24709634996856,27.009528960691327,329.3300221891605,4015.5105721794985
1465,605.7034885367484,337.3534183518671,509.8644121558923,210.80323724749485,291.8884240460434,188.06434125479043,61.62994119472759,591.4808466487284,54.26055139809052,632.2937950827021,398.0255497203512,533.2383041967471,286.8613859827243,112.26918276635475,407.2739494237945,333.63177797324204,424.5177766054711,607.0300884731208,15.604298153754737,607.5786980879126,34.216626043733804,221.80417936713556,85.19950863683778,179.4779142801878,127.396498121096,304.4674517015637,47.65055684426342,227.05306660835393,81.11953487192515,154.9839632235421,312.3778904903891,318.30053275879146,281.7399003554864,355.044557997055,179.78338584881112,252.8460669898069,186.97566410899728,337.6114274088144,102.18525938754998,182.5158210914189,411.03387617389177,206.5980921311638,453.1902100824889,210.76405400526835,358.3196641631701,354.51336296358755,518.1968182445971,233.82611915757118,593.5415045574991,115.86797250309674,635.625612020029,391.21228966418715,539.8107983992726,271.4509815821632,96.72112161912744,392.280007760024,592.8339691487137,43.386985043458694,210.1779317717506,69.68488530587945,328.9831109605798,506.4900448446066,202.0957578943993,632.1822916739325,409.590785720016,531.1698736889914,307.673021259337,128.79961710318815,430.82515661112046,253.54507806472918,102.30617558179951,152.29299688345608,163.02686453635044,225.67848151106028,173.82377177005597,205.4078689604063,27.127833252251538,329.3695789433143,4111.103335800735
1466,605.7112100705135,337.67138441902466,509.94357235799043,211.12191689580285,292.29521971724773,188.33339015078275,63.064670115471685,591.4831354853432,55.52314483565491,632.2956556019873,398.333762109228,533.2770208734568,287.4078351969131,112.91422580221432,407.53769787110946,334.1432227471325,424.57547026158136,607.1176503917479,15.667321825642002,607.7598128713435,34.527299913091795,222.16202263434786,85.72667049450014,179.5671758890903,127.43311906108227,304.47857871794366,47.65668093769861,227.1440343202423,81.20941525995984,157.06449874207362,313.7019415244604,318.7582467284625,281.76341072185005,355.3149186086858,182.45084010315284,253.00576742471162,188.60197047802657,338.1485133907031,104.4555611730237,182.5458638407892,411.1197612412222,207.74893392257715,453.3391484622677,210.83852195239336,358.6989832758175,355.61945517298255,518.679121713478,235.1557470302081,593.6571012112682,118.5658075648328,635.8009615012235,391.2189740148216,540.1739319679483,271.9405292453778,97.30544629380171,392.5038801791642,592.9860994952444,43.50607054847226,210.64426050664972,70.15265708099851,328.995678997577,506.4976476284819,202.09582014611794,632.2647719137203,410.5089575745146,531.1967369931864,307.95145184997295,129.0137600349579,430.9420494964449,254.12954165515856,102.42203179713603,155.2816317302652,164.88080775188564,227.3193552893786,175.22260214236837,205.57236151756996,27.248253728756705,329.41010087319285,4206.768599432302
