"id","localityNo","year","week","hasReportedLice","hasMechanicalRemoval","hasBathTreatment","hasInFeedTreatment","hasCleanerFishDeployed","isFallow","avgAdultFemaleLice","avgMobileLice","avgStationaryLice","seaTemperature","bathTreatments","inFeedTreatments","cleanerFish","mechanicalRemoval","timeSinceLastChitinSynthesisInhibitorTreatment"
514500,13227,2017,37,true,false,false,false,false,false,0.04,0.09,0,16.1,"[]","[]",,,
514497,12982,2017,37,true,false,false,false,false,false,0,0.07,0,15,"[]","[]",,,
513508,12067,2017,37,true,false,false,false,true,false,0.09,0.07,0,10,"[]","[]","{""id"":736831,""liceReport"":null,""entireLocality"":true,""cleanerFishDetail"":[{""id"":766966,""speciesId"":2221,""species"":{""id"":2221,""name"":""Rognkjeks (felles)""},""quantity"":14000}]}",,
513833,15196,2017,37,true,false,false,false,false,false,0,0.03,0,14.94,"[]","[]",,,
513505,12086,2017,37,true,false,false,false,false,false,0.01,0.08,0,15.5,"[]","[]",,,
514339,11179,2017,37,true,false,false,false,false,false,0.08,0.66,0,12,"[]","[]",,,
514328,11513,2017,37,true,false,false,false,false,false,0.09,0.21,0.06,15.2,"[]","[]",,,
514300,32277,2017,37,true,true,false,false,false,false,0.3,0.88,0.2,14.6,"[]","[]",,"{""id"":703705,""entireLocality"":false}",
514125,30156,2017,37,true,false,false,false,false,false,0.06,0.09,0.02,12.5,"[]","[]",,,
514006,29816,2017,37,true,false,false,false,false,false,0.07,0.12,0,15.5,"[]","[]",,,
513815,12085,2017,37,true,false,false,false,false,false,0,0,0,14.8,"[]","[]",,,
514540,13254,2017,37,true,false,false,false,true,false,0,0.23,0,13.8,"[]","[]","{""id"":737195,""liceReport"":null,""entireLocality"":false,""cleanerFishDetail"":[{""id"":767822,""speciesId"":1693,""species"":{""id"":1693,""name"":""Bergnebb""},""quantity"":1329}]}",,
514306,32297,2017,37,true,true,false,false,false,false,0.3,0.99,0.18,14.7,"[]","[]",,"{""id"":703706,""entireLocality"":false}",
514217,11800,2017,37,true,false,false,false,false,false,0,0.03,0.07,14.89,"[]","[]",,,
514252,12988,2017,37,true,true,false,false,false,false,0.2,0.28,0,14.67,"[]","[]",,"{""id"":703694,""entireLocality"":false}",
514363,13572,2017,37,true,false,false,false,false,false,0.01,0.02,0.03,14,"[]","[]",,,
513924,26795,2017,37,true,false,false,false,false,false,0,0,0,13.71,"[]","[]",,,
513705,32537,2017,37,true,false,false,false,false,false,0.55,2.02,0.05,10.6,"[]","[]",,,
513774,13873,2017,37,true,false,false,false,false,false,0.26,0.53,0.11,15.3,"[]","[]",,,
514481,13845,2017,37,true,true,false,false,true,false,0.49,0.79,0.04,14.56,"[]","[]","{""id"":737150,""liceReport"":null,""entireLocality"":false,""cleanerFishDetail"":[{""id"":767732,""speciesId"":1691,""species"":{""id"":1691,""name"":""Berggylt""},""quantity"":58},{""id"":767733,""speciesId"":1694,""species"":{""id"":1694,""name"":""Grøngylt""},""quantity"":355},{""id"":767734,""speciesId"":2221,""species"":{""id"":2221,""name"":""Rognkjeks (felles)""},""quantity"":20809}]}","{""id"":703722,""entireLocality"":false}",
513960,12095,2017,37,true,false,false,false,true,false,0.01,0.15,0,14.6,"[]","[]","{""id"":736938,""liceReport"":null,""entireLocality"":false,""cleanerFishDetail"":[{""id"":767199,""speciesId"":1691,""species"":{""id"":1691,""name"":""Berggylt""},""quantity"":104},{""id"":767200,""speciesId"":1693,""species"":{""id"":1693,""name"":""Bergnebb""},""quantity"":-48},{""id"":767201,""speciesId"":1694,""species"":{""id"":1694,""name"":""Grøngylt""},""quantity"":3303}]}",,
514498,13872,2017,37,true,false,false,false,false,false,0.08,0.08,0,15.11,"[]","[]",,,
