"id","localityNo","year","week","hasReportedLice","hasMechanicalRemoval","hasBathTreatment","hasInFeedTreatment","hasCleanerFishDeployed","isFallow","avgAdultFemaleLice","avgMobileLice","avgStationaryLice","seaTemperature","bathTreatments","inFeedTreatments","cleanerFish","mechanicalRemoval","timeSinceLastChitinSynthesisInhibitorTreatment"
467371,12067,2017,13,true,false,false,false,false,false,0,0,0.26,10,"[]","[]",,,
468170,32297,2017,13,true,false,false,false,false,false,0.07,0.15,0,6.4,"[]","[]",,,
468356,12982,2017,13,true,false,false,false,false,false,0,0.28,0.2,6.1,"[]","[]",,,
468164,32277,2017,13,true,false,false,false,false,false,0.03,0.23,0.03,6.3,"[]","[]",,,
467876,13563,2017,13,true,false,false,false,false,false,0.12,0.55,2.65,6.9,"[]","[]",,,
467690,12085,2017,13,true,false,false,false,false,false,0,0,0,5.8,"[]","[]",,,
468384,13518,2017,13,true,false,false,false,false,false,0.23,0.23,0.03,3.1,"[]","[]",,,
467877,29816,2017,13,true,false,false,false,false,false,0.08,0.59,0.18,5,"[]","[]",,,
468119,12988,2017,13,true,true,false,false,false,false,0.21,0.95,0.09,6.21,"[]","[]",,"{""id"":702791,""entireLocality"":false}",
468084,11800,2017,13,true,false,false,false,false,false,0.47,4.48,1.25,5.8,"[]","[]",,,
467583,32537,2017,13,true,false,false,false,false,false,0.03,0.19,0.16,3.9,"[]","[]",,,
467547,12357,2017,13,true,false,false,false,false,false,0.33,1.21,0.1,5.8,"[]","[]",,,
468270,13305,2017,13,true,false,false,false,false,false,0.3,2.5,0.4,3.4,"[]","[]",,,
467650,13873,2017,13,true,false,false,false,false,false,0.05,0.09,0.03,5.9,"[]","[]",,,
467834,12095,2017,13,true,false,false,false,false,false,0,0,0,6,"[]","[]",,,
467374,25055,2017,13,true,false,false,false,false,false,0.05,0.61,0.81,5.94,"[]","[]",,,
468357,13872,2017,13,true,false,false,false,false,false,0.02,0.06,0.01,5.9,"[]","[]",,,
468062,11930,2017,13,true,false,false,false,false,false,0.11,0.54,0.34,4.6,"[]","[]",,,
468349,12178,2017,13,true,false,false,false,false,false,0.45,1.3,1.43,6.1,"[]","[]",,,
468342,13845,2017,13,true,false,false,false,false,false,0.04,0.26,0.05,5.97,"[]","[]",,,
468205,12308,2017,13,true,false,false,false,false,false,0.15,1.1,0.7,7,"[]","[]",,,
467779,12625,2017,13,true,false,false,false,false,false,0.02,0.27,0.17,5.02,"[]","[]",,,
467990,11340,2017,13,true,false,false,false,false,false,0.47,0.72,0.02,4.1,"[]","[]",,,
467722,12156,2017,13,true,false,false,false,false,false,0,0.02,0.23,6.7,"[]","[]",,,
468049,11399,2017,13,true,false,false,false,false,false,0.35,0.83,0.33,4.51,"[]","[]",,,
468172,13209,2017,13,true,false,false,false,false,false,0.04,0.14,0.18,5.7,"[]","[]",,,
467518,13284,2017,13,true,false,false,false,false,false,0.1,0.1,0.1,4.2,"[]","[]",,,
467451,10212,2017,13,true,false,false,true,true,false,0.05,0.87,0.15,6.3,"[]","[{""id"":711737,""treatmentType"":""InFeed"",""startDate"":""2017-03-30T00:00:00"",""endDate"":""2017-04-07T00:00:00"",""entireLocality"":true,""treatmentDetail"":[{""id"":715326,""substanceId"":0,""substance"":{""id"":5,""name"":""Emamectin benzoat""}}]}]","{""id"":738477,""liceReport"":null,""entireLocality"":true,""cleanerFishDetail"":[{""id"":770928,""speciesId"":222120,""species"":{""id"":222120,""name"":""Rognkjeks (hun)""},""quantity"":14607},{""id"":770929,""speciesId"":1693,""species"":{""id"":1693,""name"":""Bergnebb""},""quantity"":-183}]}",,
467372,13143,2017,13,true,false,false,false,false,false,0.15,0.15,0.02,2.8,"[]","[]",,,
468074,12040,2017,13,true,false,false,false,false,false,0.23,1.45,0.77,6.57,"[]","[]",,,
468370,15796,2017,13,true,false,false,false,false,false,0.39,1.57,0.87,4.6,"[]","[]",,,
467445,28336,2017,13,true,false,false,false,false,false,0.05,0.22,0.01,5.27,"[]","[]",,,
467508,34197,2017,13,true,false,false,false,false,false,0.43,0.56,0.19,5.8,"[]","[]",,,
468194,32897,2017,13,true,false,false,false,false,false,0.06,0.19,0.03,5.27,"[]","[]",,,
467495,13765,2017,13,true,false,false,false,false,false,0.13,0.22,0,5.1,"[]","[]",,,
