"id","localityNo","year","week","hasReportedLice","hasMechanicalRemoval","hasBathTreatment","hasInFeedTreatment","hasCleanerFishDeployed","isFallow","avgAdultFemaleLice","avgMobileLice","avgStationaryLice","seaTemperature","bathTreatments","inFeedTreatments","cleanerFish","mechanicalRemoval","timeSinceLastChitinSynthesisInhibitorTreatment"
545727,12067,2018,2,true,false,false,false,false,false,0.33,1.8,0.09,5.19,"[]","[]",,,
546723,13227,2018,2,true,false,true,false,false,false,0.38,2.22,0.29,6.74,"[{""id"":712045,""treatmentType"":""Bath"",""startDate"":""2018-01-13T00:00:00"",""endDate"":""2018-01-13T00:00:00"",""entireLocality"":false,""treatmentDetail"":[{""id"":715646,""substanceId"":0,""substance"":{""id"":6,""name"":""Hydrogenperoksid""}}]}]","[]",,,
546720,12982,2018,2,true,false,false,false,false,false,0.15,2.5,0.4,7.7,"[]","[]",,,
546045,15196,2018,2,true,true,false,false,false,false,0.11,0.52,0.11,6.64,"[]","[]",,"{""id"":704398,""entireLocality"":false}",
545724,12086,2018,2,true,false,false,false,false,false,0.1,0.59,0.01,6.48,"[]","[]",,,
546551,11513,2018,2,true,false,false,false,false,false,0.07,0.58,0.59,6.2,"[]","[]",,,
546391,38037,2018,2,true,false,false,false,false,false,0,0,0,6.5,"[]","[]",,,
546523,32277,2018,2,true,false,false,false,false,false,0.2,0.7,0,5.8,"[]","[]",,,
546763,13254,2018,2,true,false,false,false,false,false,0.09,1.83,0.09,5.79,"[]","[]",,,
546344,30156,2018,2,true,false,false,false,false,false,0.03,0.04,0,5.8,"[]","[]",,,
546027,12085,2018,2,true,false,false,false,false,false,0.16,0.3,0.15,5.3,"[]","[]",,,
546749,13518,2018,2,true,false,false,false,false,false,0.07,0.16,0.01,4.5,"[]","[]",,,
546439,11800,2018,2,true,false,false,true,false,false,0.2,1.21,0.29,7,"[]","[{""id"":712029,""treatmentType"":""InFeed"",""startDate"":null,""endDate"":""2018-01-08T00:00:00"",""entireLocality"":false,""treatmentDetail"":[{""id"":715630,""substanceId"":0,""substance"":{""id"":5,""name"":""Emamectin benzoat""}}]}]",,,
546537,13341,2018,2,true,false,false,false,false,false,0,0,0.03,7.3,"[]","[]",,,
546586,13572,2018,2,true,false,false,false,false,false,0.01,0.03,0.03,7,"[]","[]",,,
546138,26795,2018,2,true,false,false,false,true,false,0,0,0,6.29,"[]","[]","{""id"":740782,""liceReport"":null,""entireLocality"":false,""cleanerFishDetail"":[{""id"":776373,""speciesId"":2221,""species"":{""id"":2221,""name"":""Rognkjeks (felles)""},""quantity"":48500}]}",,
545985,13873,2018,2,true,false,false,false,false,false,0.49,2.24,0.51,9.6,"[]","[]",,,
546539,31877,2018,2,true,false,false,false,false,false,0,0.02,0.01,6.5,"[]","[]",,,
546721,13872,2018,2,true,false,false,false,false,false,0.47,2.07,0.5,9.6,"[]","[]",,,
546176,12095,2018,2,true,true,false,false,false,false,0.26,0.45,0.16,5.7,"[]","[]",,"{""id"":704394,""entireLocality"":false}",
546778,25055,2018,2,true,true,true,false,false,false,0.48,2.62,0.14,7.14,"[{""id"":712049,""treatmentType"":""Bath"",""startDate"":""2018-01-13T00:00:00"",""endDate"":""2018-01-13T00:00:00"",""entireLocality"":true,""treatmentDetail"":[{""id"":715650,""substanceId"":0,""substance"":{""id"":6,""name"":""Hydrogenperoksid""}}]}]","[]",,"{""id"":704419,""entireLocality"":false}",
546561,20396,2018,2,true,false,false,false,false,false,0.05,0.15,0.04,4.9,"[]","[]",,,
546536,30397,2018,2,true,false,false,false,false,false,0,0,0,4.8,"[]","[]",,,
546417,11930,2018,2,true,true,false,false,false,false,0.36,7.06,3.18,6.6,"[]","[]",,"{""id"":704386,""entireLocality"":true}",
546712,12178,2018,2,true,false,false,false,false,false,0.33,1.01,0.25,7.8,"[]","[]",,,
546163,22455,2018,2,true,false,false,false,true,false,0.08,0.51,0.13,7.07,"[]","[]","{""id"":740866,""liceReport"":null,""entireLocality"":false,""cleanerFishDetail"":[{""id"":776539,""speciesId"":2221,""species"":{""id"":2221,""name"":""Rognkjeks (felles)""},""quantity"":48766}]}",,
546068,23436,2018,2,true,false,false,false,false,false,0.18,0.95,0.23,8.29,"[]","[]",,,
545991,34997,2018,2,true,false,false,false,false,false,0.01,0.11,0.04,6,"[]","[]",,,
546531,13209,2018,2,true,false,false,false,false,false,0.12,0.46,0.01,6.6,"[]","[]",,,
545850,13284,2018,2,true,false,false,false,false,false,0.17,0.22,0.07,5.1,"[]","[]",,,
545728,13143,2018,2,true,false,false,false,false,false,0.11,0.49,1.82,5.2,"[]","[]",,,
546261,10256,2018,2,true,false,false,false,false,false,0.14,0.15,0.04,5.6,"[]","[]",,,
545888,11248,2018,2,true,false,false,false,false,false,1.32,2.23,0,5.1,"[]","[]",,,
546394,34897,2018,2,true,false,false,false,false,false,0.02,0.04,0,6,"[]","[]",,,
546734,15796,2018,2,true,false,false,false,false,false,0.38,2.3,0.22,5.9,"[]","[]",,,
546547,11488,2018,2,true,false,false,false,false,false,0.48,2.2,0.44,7,"[]","[]",,,
545849,13205,2018,2,true,false,false,false,false,false,0.63,5.13,0.73,8,"[]","[]",,,
546643,11574,2018,2,true,false,false,false,false,false,0.3,1.66,1.24,10.9,"[]","[]",,,
546244,11015,2018,2,true,false,false,false,false,false,0.04,0.14,0,4.82,"[]","[]",,,
545775,28336,2018,2,true,false,false,false,false,false,0.08,0.14,0,5.71,"[]","[]",,,
546553,32897,2018,2,true,false,false,false,false,false,0.04,0.13,0,5.66,"[]","[]",,,
545826,13765,2018,2,true,false,false,false,false,false,0.02,0.02,0.04,5.5,"[]","[]",,,
546277,11435,2018,2,true,false,false,false,false,false,0.01,0.3,0,6.4,"[]","[]",,,
545757,13841,2018,2,true,false,false,false,false,false,0.78,1.76,0.14,6.68,"[]","[]",,,
546396,31038,2018,2,true,true,false,false,false,false,0.22,0.66,0.2,7.1,"[]","[]",,"{""id"":704422,""entireLocality"":false}",
546457,11543,2018,2,true,false,false,false,false,false,0.22,0.57,0.3,6.8,"[]","[]",,,
546101,11721,2018,2,true,false,false,false,false,false,0,0,0,8.4,"[]","[]",,,
545809,33537,2018,2,true,false,false,false,false,false,0.01,0.04,0,6,"[]","[]",,,
545817,11087,2018,2,true,false,false,false,false,false,0.08,0.13,0,5.5,"[]","[]",,,
546614,11749,2018,2,true,false,false,false,false,false,0.02,0.13,0.33,7.8,"[]","[]",,,
