"id","localityNo","year","week","hasReportedLice","hasMechanicalRemoval","hasBathTreatment","hasInFeedTreatment","hasCleanerFishDeployed","isFallow","avgAdultFemaleLice","avgMobileLice","avgStationaryLice","seaTemperature","bathTreatments","inFeedTreatments","cleanerFish","mechanicalRemoval","timeSinceLastChitinSynthesisInhibitorTreatment"
44997,11756,2015,27,true,true,false,false,false,false,0,0,0.05,11.2,"[]","[]",,"{""id"":700978,""entireLocality"":true}",
6196,12982,2015,27,true,false,false,false,false,false,0,0.05,0.1,13,"[]","[]",,,
93825,12067,2015,27,true,false,false,false,false,false,0.04,1.16,0.33,1,"[]","[]",,,
27441,13227,2015,27,true,false,false,false,false,false,0,0,0,15.91,"[]","[]",,,
17739,12086,2015,27,true,false,false,false,false,false,0.03,0.25,0.1,13,"[]","[]",,,
73872,11513,2015,27,true,false,false,false,false,false,0,0.35,0.12,12.2,"[]","[]",,,
91197,32277,2015,27,true,false,false,false,false,false,0.07,0.73,0,10.1,"[]","[]",,,
90966,32297,2015,27,true,false,false,false,true,false,0.13,0.64,0,10.1,"[]","[]","{""id"":717742,""liceReport"":null,""entireLocality"":false,""cleanerFishDetail"":[{""id"":729077,""speciesId"":1691,""species"":{""id"":1691,""name"":""Berggylt""},""quantity"":2200}]}",,
46383,12085,2015,27,true,false,false,false,false,false,0.34,1.24,0.3,13.2,"[]","[]",,,
145513,30156,2015,27,true,false,false,false,false,false,0,0,0.05,11.1,"[]","[]",,,
133270,13254,2015,27,true,false,false,false,false,false,0.29,0.99,0.51,12.2,"[]","[]",,,
142712,11119,2015,27,true,false,false,false,false,false,0,0.05,0,10.2,"[]","[]",,,
21204,12988,2015,27,true,true,true,false,false,false,0.22,0.28,0.05,12,"[{""id"":707172,""treatmentType"":""Bath"",""startDate"":""2015-07-02T00:00:00"",""endDate"":""2015-07-03T00:00:00"",""entireLocality"":false,""treatmentDetail"":[{""id"":709934,""substanceId"":0,""substance"":{""id"":6,""name"":""Hydrogenperoksid""}},{""id"":709935,""substanceId"":0,""substance"":{""id"":1,""name"":""Azamethiphos""}}]}]","[]",,"{""id"":700988,""entireLocality"":false}",
127291,10275,2015,27,true,false,false,false,false,false,0.1,0.2,0.3,9.8,"[]","[]",,,
