"id","localityNo","year","week","hasReportedLice","hasMechanicalRemoval","hasBathTreatment","hasInFeedTreatment","hasCleanerFishDeployed","isFallow","avgAdultFemaleLice","avgMobileLice","avgStationaryLice","seaTemperature","bathTreatments","inFeedTreatments","cleanerFish","mechanicalRemoval","timeSinceLastChitinSynthesisInhibitorTreatment"
510292,11179,2017,35,true,false,false,false,false,false,1.6,0.4,0.3,12.2,"[]","[]",,,
509787,15196,2017,35,true,false,false,false,true,false,0,0.04,0,15.1,"[]","[]","{""id"":736379,""liceReport"":null,""entireLocality"":true,""cleanerFishDetail"":[{""id"":765840,""speciesId"":1693,""species"":{""id"":1693,""name"":""Bergnebb""},""quantity"":10440},{""id"":765841,""speciesId"":1694,""species"":{""id"":1694,""name"":""Grøngylt""},""quantity"":2455},{""id"":765842,""speciesId"":1692,""species"":{""id"":1692,""name"":""Annen leppefisk""},""quantity"":2118}]}",,
510450,12982,2017,35,true,false,false,false,false,false,0.02,0.15,0,15.7,"[]","[]",,,
510453,13227,2017,35,true,false,false,false,false,false,0.04,0.18,0.25,16.33,"[]","[]",,,
509457,12086,2017,35,true,false,false,false,true,false,0.02,0.01,0,15.8,"[]","[]","{""id"":736304,""liceReport"":null,""entireLocality"":false,""cleanerFishDetail"":[{""id"":765673,""speciesId"":1692,""species"":{""id"":1692,""name"":""Annen leppefisk""},""quantity"":692},{""id"":765674,""speciesId"":1693,""species"":{""id"":1693,""name"":""Bergnebb""},""quantity"":919},{""id"":765675,""speciesId"":1694,""species"":{""id"":1694,""name"":""Grøngylt""},""quantity"":2989}]}",,
510078,30156,2017,35,true,false,false,false,false,false,0.06,0.17,0.02,13,"[]","[]",,,
510259,32297,2017,35,true,false,false,false,false,false,0.25,0.6,0.02,14.4,"[]","[]",,,
510253,32277,2017,35,true,false,false,false,true,false,0.35,0.85,0.05,14.3,"[]","[]","{""id"":736451,""liceReport"":null,""entireLocality"":false,""cleanerFishDetail"":[{""id"":765997,""speciesId"":1691,""species"":{""id"":1691,""name"":""Berggylt""},""quantity"":2219},{""id"":765998,""speciesId"":1694,""species"":{""id"":1694,""name"":""Grøngylt""},""quantity"":2664}]}",,
510281,11513,2017,35,true,false,false,false,true,false,0.02,0.29,0,15.9,"[]","[]","{""id"":736320,""liceReport"":null,""entireLocality"":false,""cleanerFishDetail"":[{""id"":765704,""speciesId"":1693,""species"":{""id"":1693,""name"":""Bergnebb""},""quantity"":2549},{""id"":765705,""speciesId"":1694,""species"":{""id"":1694,""name"":""Grøngylt""},""quantity"":296},{""id"":765706,""speciesId"":1692,""species"":{""id"":1692,""name"":""Annen leppefisk""},""quantity"":-115},{""id"":765707,""speciesId"":222120,""species"":{""id"":222120,""name"":""Rognkjeks (hun)""},""quantity"":-600},{""id"":765708,""speciesId"":1691,""species"":{""id"":1691,""name"":""Berggylt""},""quantity"":-485}]}",,
509960,29816,2017,35,true,false,false,false,false,false,0.07,0.05,0,16,"[]","[]",,,
509771,14016,2017,35,true,false,false,false,false,false,0,0,0,17.2,"[]","[]",,,
509769,12085,2017,35,true,false,false,false,false,false,0,0.13,0.08,16,"[]","[]",,,
510170,11800,2017,35,true,false,false,false,false,false,0,0,0.1,15.41,"[]","[]",,,
510493,13254,2017,35,true,false,false,false,true,false,0,0.21,0,14.99,"[]","[]","{""id"":736444,""liceReport"":null,""entireLocality"":false,""cleanerFishDetail"":[{""id"":765982,""speciesId"":1693,""species"":{""id"":1693,""name"":""Bergnebb""},""quantity"":276}]}",,
510205,12988,2017,35,true,false,false,false,false,false,0.36,0.78,0.05,14.81,"[]","[]",,,
509728,13873,2017,35,true,false,false,false,false,false,0.46,0.24,0.04,15.43,"[]","[]",,,
510316,13572,2017,35,true,false,false,false,false,false,0,0.22,0.06,14.1,"[]","[]",,,
509878,26795,2017,35,true,false,false,false,true,false,0,0,0,14.63,"[]","[]","{""id"":736353,""liceReport"":null,""entireLocality"":false,""cleanerFishDetail"":[{""id"":765794,""speciesId"":1691,""species"":{""id"":1691,""name"":""Berggylt""},""quantity"":7},{""id"":765795,""speciesId"":1693,""species"":{""id"":1693,""name"":""Bergnebb""},""quantity"":821},{""id"":765796,""speciesId"":1694,""species"":{""id"":1694,""name"":""Grøngylt""},""quantity"":3}]}",,
509659,32537,2017,35,true,true,false,false,false,false,0.42,0.69,0,10.8,"[]","[]",,"{""id"":703645,""entireLocality"":false}",
510434,13845,2017,35,true,false,false,false,true,false,0.16,0.61,0,14.61,"[]","[]","{""id"":736362,""liceReport"":null,""entireLocality"":false,""cleanerFishDetail"":[{""id"":765810,""speciesId"":1691,""species"":{""id"":1691,""name"":""Berggylt""},""quantity"":397},{""id"":765811,""speciesId"":1694,""species"":{""id"":1694,""name"":""Grøngylt""},""quantity"":3153}]}",,
510451,13872,2017,35,true,false,false,false,false,false,0.37,0.63,0,15.44,"[]","[]",,,
509914,12095,2017,35,true,false,false,false,false,false,0.02,0.08,0.01,15.9,"[]","[]",,,
510291,20396,2017,35,true,false,false,false,false,false,0,0,0,9.8,"[]","[]",,,
510507,25055,2017,35,true,false,false,false,true,false,0,0,0,13.83,"[]","[]","{""id"":736431,""liceReport"":null,""entireLocality"":false,""cleanerFishDetail"":[{""id"":765958,""speciesId"":1691,""species"":{""id"":1691,""name"":""Berggylt""},""quantity"":286},{""id"":765959,""speciesId"":1693,""species"":{""id"":1693,""name"":""Bergnebb""},""quantity"":2342},{""id"":765960,""speciesId"":1694,""species"":{""id"":1694,""name"":""Grøngylt""},""quantity"":4795}]}",,
510266,30397,2017,35,true,false,false,false,false,false,0.02,0,0,13.8,"[]","[]",,,
510148,11930,2017,35,true,false,false,false,false,false,0.79,1.4,0.04,16.5,"[]","[]",,,
510294,12308,2017,35,true,false,false,false,true,false,1.2,7.58,0.83,15.8,"[]","[]","{""id"":736618,""liceReport"":null,""entireLocality"":true,""cleanerFishDetail"":[{""id"":766442,""speciesId"":1691,""species"":{""id"":1691,""name"":""Berggylt""},""quantity"":1494},{""id"":766443,""speciesId"":1694,""species"":{""id"":1694,""name"":""Grøngylt""},""quantity"":33559}]}",,
509858,12625,2017,35,true,false,false,false,false,false,0.4,1.23,0.07,14.22,"[]","[]",,,
