,0,0-1,0-2,0-3,0-4,0-5,0-6,0-7,1-2,1-3,1-4,1-5,1-6,1-7,2-3,2-4,2-5,2-6,2-7,3-4,3-5,3-6,3-7,4-5,4-6,4-7,5-6,5-7,6-7,breadth,date,kfactor,length,project_name,weight,width
0,11.0,0.08831189591714783,0.20229218396526782,0.40249864292577553,0.34390770935389,0.18623652949961347,0.1551898299720936,0.43984548703620663,0.20213314029315152,0.3738586456366078,0.30712134919840706,0.1307836689378236,0.1939883808352857,0.411380437313229,0.2097283187528341,0.16722211340601623,0.12808743549043977,0.35743918269806646,0.2452097354996314,0.07356136543579021,0.24820836588404116,0.5548416312465665,0.046708432189428384,0.17849174667819115,0.4928138251548446,0.11443771150714285,0.32236885732522197,0.2865037127942636,0.5922794202988279,68.0,2019-03-01,1.0334940224981615,603.0,2019-03-01: GTSF Phase I Keypoint Annotations,2266.0,121.0
1,12.0,0.07054677064137556,0.1909986759759578,0.3435589756109958,0.2888942363360284,0.15477455642311938,0.14311297326361355,0.37387617458338446,0.19165720988573276,0.32159208140789936,0.25862739707016014,0.11356450383415423,0.16931115609176822,0.3520330786130266,0.16816776934146246,0.1379224841545563,0.12298223326271393,0.33138898456414156,0.19425838823438424,0.07116524770490755,0.21265791465562534,0.4827428626566859,0.03535242025448674,0.14680203974776435,0.4242288478331617,0.10189370228353646,0.28154633567440446,0.2441869631349555,0.5124907313522186,54.0,2019-03-01,0.9935835653997279,518.0,2019-03-01: GTSF Phase I Keypoint Annotations,1381.0,104.0
2,13.0,0.09126797465571553,0.1944547961941082,0.37695653282962077,0.32731869234859806,0.17924438457964798,0.13554079880503625,0.40750455710374406,0.19572404587065495,0.35018226031654703,0.2918811862781743,0.12160422274350598,0.1733849190802697,0.37920341386533896,0.19214020987649727,0.15981211285601832,0.1285526106513359,0.3288974968259541,0.22100140025080664,0.06779826959425356,0.23451153138114958,0.5085751678046245,0.03675220664954622,0.1729158838661731,0.4553400086132483,0.09832328162120113,0.29237777396781356,0.26317241292696125,0.538521720582458,70.0,2019-03-01,1.174000881816806,555.0,2019-03-01: GTSF Phase I Keypoint Annotations,2007.0,119.0
3,14.0,0.07331480261155163,0.18575011518971046,0.3620905448040795,0.3148072998545677,0.16848776261501033,0.1358026806612478,0.39036243936156434,0.1779900289886251,0.33644327865753704,0.2807271450948162,0.11773021103531812,0.16618900976731046,0.3647385572346346,0.18150501627664029,0.1481630837423445,0.11359279900600068,0.3205570659593665,0.20816612390135225,0.06657217706567295,0.22742341181811615,0.4944557954319037,0.0346087283123932,0.16683006211822485,0.4431457209469158,0.09497590461422509,0.28360324703794804,0.2560410055206999,0.5225146528627911,58.0,2019-03-01,0.9247315286033075,538.0,2019-03-01: GTSF Phase I Keypoint Annotations,1440.0,106.0
4,15.0,0.0880649517526476,0.19650896397522705,0.38069068054931154,0.326967147378598,0.17832852115837702,0.1573500301231615,0.4180326210846939,0.20341240803957153,0.35556151321905244,0.29183319569798044,0.1240883137495742,0.18511597223204565,0.3923135368077231,0.19741005412122187,0.165254436317724,0.13618999269964593,0.35329604364729755,0.23323473288725383,0.07387991956646152,0.23694265248026566,0.5315869830966148,0.04470848337753239,0.16959524010898572,0.47242751447611064,0.11189396147099537,0.3083406586871542,0.27373761096988103,0.5683775105641573,70.0,2019-03-01,1.137785303088758,582.0,2019-03-01: GTSF Phase I Keypoint Annotations,2243.0,133.0
5,16.0,0.08638292359443352,0.19034948700074472,0.36855736809271616,0.32186383151657816,0.18308784995633062,0.14059333111338126,0.3943833504733849,0.18552496759328252,0.3392062040893669,0.2821604767935813,0.12525647564870238,0.17142886307280072,0.3650223632987945,0.18428675387242083,0.15276550805513278,0.11869470891464724,0.3288414410007058,0.21043374730239633,0.06936208295622512,0.22270844408325854,0.5019255101539125,0.03211406970692668,0.16025318891042561,0.44902093061494164,0.09590149256047921,0.29495706122756415,0.24925490066993952,0.5281573963717899,61.0,2019-03-01,1.0207340825811584,549.0,2019-03-01: GTSF Phase I Keypoint Annotations,1689.0,110.0
6,17.0,0.09423462991959486,0.18071905974272146,0.3702534265252442,0.32157736347273985,0.17880948466406793,0.1489739151368338,0.40484008093132307,0.187220254606912,0.34228820063134896,0.2804906050882977,0.11136702289447792,0.17947461343850832,0.37773159784467375,0.19935146381248786,0.1712351339830816,0.14264296738377438,0.3280551274351943,0.23146197115689435,0.07544847865717176,0.2414522959488975,0.5110886902033432,0.04291901223358083,0.17393182811036192,0.4553829747972963,0.11203275531634141,0.2906615858965171,0.27691382439181433,0.5455043733169744,63.0,2019-03-01,1.3894225806496119,559.0,2019-03-01: GTSF Phase I Keypoint Annotations,2427.0,131.0
7,18.0,0.08288312625640605,0.1865272884894109,0.3801227612969431,0.3336091852001994,0.17495676996405993,0.14080179598881304,0.4130837330020585,0.1893348788819791,0.3546255086063858,0.29955063934543275,0.1240037501242989,0.17470378197149383,0.3865877195935764,0.20308342697737092,0.171073608908207,0.1206303314280245,0.32730419118499204,0.23564435920023286,0.06353609780968056,0.23519266737625752,0.5175716395893583,0.0379308034491148,0.17725423951258554,0.4674125559159951,0.09242315721859294,0.2967409961518132,0.2659768359015862,0.5503972329783072,58.0,2019-03-01,1.0013618958344392,568.0,2019-03-01: GTSF Phase I Keypoint Annotations,1835.0,113.0
8,19.0,0.08700296461405514,0.19280316334730918,0.36841654145000313,0.31685091585611375,0.17871636571532623,0.13643279153844526,0.39489905147278564,0.19103420914447705,0.3378414286745805,0.27853108796236353,0.12232387702539592,0.17624958930589704,0.363267051402451,0.18640438228657313,0.15188549597234172,0.12397915669854923,0.32837511952742254,0.2117972831360523,0.06621530879527475,0.22079434774834283,0.5011547929205481,0.031247047595507404,0.1584398648404335,0.4465443547676218,0.09240624095998434,0.29623031387044046,0.24616714353967825,0.5270438089820731,63.0,2019-03-01,1.154256896624059,543.0,2019-03-01: GTSF Phase I Keypoint Annotations,1848.0,111.0
9,20.0,0.08550979617097038,0.1879744684944455,0.37643707207855087,0.32716486870527456,0.17757575845737267,0.15511850207351505,0.4118379526293368,0.19155640608370156,0.35406746618929674,0.2954769718824078,0.1273137893922307,0.18594546604549797,0.38935431509819884,0.1951549047246635,0.1610118869484268,0.11892267081298961,0.34290364882419044,0.22969803899864683,0.06993775566590749,0.23242422369112406,0.5279319183276289,0.04101019346021739,0.17002769914849308,0.47412838710894245,0.10639415912043394,0.3110714237796977,0.26801965655003407,0.5635026801552241,55.0,2019-03-01,0.9502234613965312,580.0,2019-03-01: GTSF Phase I Keypoint Annotations,1854.0,117.0
